source,target,weight
network,multiprocessing,0.0
network,source code,0.0
network,recursion,0.0
network,register,0.3111341813234457
network,operating system,0.0
network,computing,0.08812957025360739
network,cipher,0.12369169929752999
packet,process,0.11261345099815627
packet,protocol,0.0
packet,query,0.09476301275251488
packet,software,0.07461225166629826
packet,object,0.28438460446892444
packet,variable,0.0885870793782392
packet,algorithm,0.0
packet,database,0.09582509058288677
packet,transaction,0.10315396119955336
packet,tree,0.15370441096716556
packet,boolean,0.0
packet,bug,0.11993764227950258
packet,byte,0.0
packet,C,0.0885870793782392
packet,Java,0.06470999286520607
packet,compiler,0.0
packet,translator,0.12768835416727428
packet,concurrency,0.07461225166629826
packet,code,0.08756793938959692
packet,map,0.24283306350036504
packet,stack,0.5308734276584709
packet,set,0.6249227448614072
packet,heap,0.5854699880059346
packet,computer,0.3297905452185041
packet,interface,0.1101515587244388
packet,core,0.5620698252594891
packet,Linux,0.0
packet,instruction,0.09664016031656289
packet,multiprocessing,0.0
packet,source code,0.0
packet,recursion,0.0
packet,register,0.46588608933163206
packet,operating system,0.0
packet,computing,0.08572362118865444
packet,cipher,0.11993764227950258
process,protocol,0.0
process,query,0.36818520543059857
process,software,0.0945814024965688
process,object,0.45212756970567375
process,variable,0.4209632707832821
process,algorithm,0.0
process,database,0.1314758659342031
process,transaction,0.4066472734087999
process,tree,0.11333578775235509
process,boolean,0.0
process,bug,0.077479434663286
process,byte,0.0
process,C,0.11822278487499965
process,Java,0.10232054077335807
process,compiler,0.0
process,translator,0.08490106499863002
process,concurrency,0.28019546556527375
process,code,0.3379758417384321
process,map,0.13358515985017788
process,stack,0.3671974030540243
process,set,0.5713467287713692
process,heap,0.3671974030540243
process,computer,0.08831603538540408
process,interface,0.08623061054779287
process,core,0.3965734542409685
process,Linux,0.0
process,instruction,0.48924325523756823
process,multiprocessing,0.0
process,source code,0.0
process,recursion,0.0
process,register,0.11068508888675396
process,operating system,0.0
process,computing,0.8593617591251143
process,cipher,0.7046530987669084
protocol,query,0.0
protocol,software,0.0
protocol,object,0.0
protocol,variable,0.0
protocol,algorithm,0.0
protocol,database,0.0
protocol,transaction,0.0
protocol,tree,0.0
protocol,boolean,0.0
protocol,bug,0.0
protocol,byte,0.0
protocol,C,0.0
protocol,Java,0.0
protocol,compiler,0.0
protocol,translator,0.0
protocol,concurrency,0.0
protocol,code,0.0
protocol,map,0.0
protocol,stack,0.0
protocol,set,0.0
protocol,heap,0.0
protocol,computer,0.0
protocol,interface,0.0
protocol,core,0.0
protocol,Linux,0.0
protocol,instruction,0.0
protocol,multiprocessing,0.0
protocol,source code,0.0
protocol,recursion,0.0
protocol,register,0.0
protocol,operating system,0.0
protocol,computing,0.0
protocol,cipher,0.0
query,software,0.08166192066020207
query,object,0.23915561567236365
query,variable,0.2253927129497824
query,algorithm,0.0
query,database,0.10777412256350856
query,transaction,0.39139994154944224
query,tree,-0.0
query,boolean,0.0
query,bug,-0.0
query,byte,0.0
query,C,0.09870389055597345
query,Java,-0.0
query,compiler,0.0
query,translator,0.0
query,concurrency,0.5759025038058555
query,code,0.09744034353976284
query,map,0.10918737507799878
query,stack,0.10440959068515294
query,set,0.30113698921255055
